# time identity distance inter intra
0 1 81.311436 154.662670 15.931312
1 1 75.603201 161.009495 15.541822
2 1 80.419582 151.004488 15.043813
3 1 85.332359 146.073487 12.947614
4 1 88.062618 142.249833 12.070015
5 1 91.954320 143.152181 10.639865
6 1 101.288046 117.297303 10.289045
7 1 101.809183 117.416584 13.203073
8 1 97.467639 127.003371 14.009403
9 1 97.313933 133.021349 13.584863
10 1 97.250982 128.693488 9.704489
11 1 91.894738 138.667223 11.580802
12 1 89.649764 133.219396 11.791631
13 1 94.988803 127.492191 8.150159
14 1 87.699003 134.861279 7.771163
15 1 88.077245 128.086352 6.619748
16 1 93.765559 122.625449 6.921340
17 1 92.864317 129.240964 8.303105
18 1 96.113423 128.205384 13.628857
19 1 99.617660 113.443631 16.008310
20 1 103.874361 98.887067 13.288243
21 1 93.467658 119.156545 9.716998
22 1 85.709991 116.514551 14.633112
23 1 77.214356 138.565209 19.521025
24 1 76.921117 140.748839 15.993193
25 1 77.088852 128.323076 13.883387
26 1 74.010848 143.265190 11.368943
27 1 73.222137 145.294437 8.225824
28 1 71.527949 141.388521 15.942136
29 1 75.808102 130.668357 13.336974
30 1 74.092518 146.181393 9.499330
31 1 80.012017 159.053369 18.379640
32 1 82.375009 152.120697 19.343685
33 1 76.936435 169.500833 22.646221
34 1 77.938352 167.686913 21.208712
35 1 75.347053 174.286306 21.755561
36 1 71.800559 176.519541 20.728983
37 1 72.421630 164.933107 20.199645
38 1 77.011784 159.226068 24.225353
39 1 75.802243 167.433103 23.216196
40 1 78.900109 177.287239 22.524845
41 1 79.097169 160.022299 17.122049
42 1 76.950762 160.287256 14.526352
43 1 76.084789 166.765074 21.392484
44 1 73.283852 176.275329 19.645983
45 1 74.810875 169.668624 16.317817
46 1 76.029788 179.961663 18.160454
47 1 76.661580 167.552408 20.718449
48 1 75.872418 165.735708 18.055211
49 1 85.027818 151.772824 21.010983
50 1 79.669900 166.808950 26.452230
51 1 74.460576 170.270930 24.939982
52 1 72.845606 180.074685 30.636295
53 1 73.422662 170.652451 20.176331
54 1 74.079547 158.414579 23.518128
55 1 73.165280 146.174913 19.951045
56 1 72.334483 169.328932 28.050319
57 1 70.652252 139.056058 23.520637
58 1 70.050639 147.807615 20.152146
59 1 69.791013 166.403074 28.059616
60 1 78.414932 155.911592 30.971040
61 1 79.175771 145.638377 41.318116
62 1 78.869410 124.683101 37.910080
63 1 82.217512 151.846849 26.961510
64 1 87.437039 153.929049 26.645513
65 1 92.018447 128.376378 22.873268
66 1 87.653029 143.795418 26.028105
67 1 97.588838 121.734534 17.217844
68 1 101.960298 127.428590 18.902672
69 1 95.296944 137.714509 16.883652
70 1 79.728296 157.124973 21.079826
71 1 84.000627 133.988188 22.413050
72 1 80.368716 148.912233 30.104463
73 1 84.584916 143.657347 39.978345
74 1 88.116695 136.361386 28.353443
75 1 90.579368 140.317302 31.791085
76 1 103.547759 107.440382 26.168207
77 1 99.254276 113.659470 25.709974
78 1 98.941161 123.597133 28.104652
79 1 100.155607 121.260512 32.601819
80 1 99.514842 126.292549 30.388925
81 1 103.098548 116.991381 26.251084
82 1 109.632662 104.542216 15.730445
83 1 103.347654 113.318165 17.850022
84 1 94.928070 130.781252 14.369569
85 1 97.863995 130.725242 19.204913
86 1 99.351790 111.996950 17.120973
87 1 104.769199 131.292645 16.504442
88 1 113.097559 105.765965 13.359548
89 1 119.681781 103.963821 14.482253
90 1 122.717751 99.893399 11.924049
91 1 119.344698 107.326480 12.730340
92 1 126.624110 109.909640 19.157035
93 1 118.459302 114.879317 16.082464
94 1 115.096125 107.175523 26.466757
95 1 109.383609 114.612037 18.645061
96 1 115.476912 107.167601 17.459618
97 1 119.510631 97.742874 19.598161
98 1 112.731267 124.850017 20.361055
99 1 107.752365 120.086968 15.819240
100 1 112.504406 140.814967 16.186868
101 1 108.795601 130.294196 18.846839
102 1 112.587663 115.629495 27.564233
103 1 111.183938 109.117490 19.842315
104 1 112.692199 141.207863 23.660510
105 1 110.536894 129.570902 17.340740
106 1 110.352990 134.472617 20.121603
107 1 103.911106 120.876657 18.727364
108 1 104.061414 126.047105 21.476181
109 1 102.916185 124.950854 19.505790
110 1 98.902123 123.881131 23.670736
111 1 97.820079 118.964473 27.980452
112 1 107.181304 107.279284 15.424738
113 1 108.053612 97.962195 15.699137
114 1 109.907467 79.046656 21.391203
115 1 112.041200 110.467620 20.575561
116 1 115.083169 103.103544 18.877924
117 1 108.906434 105.090226 17.030904
118 1 116.332933 91.216166 17.892851
119 1 125.511996 70.744407 11.423139
120 1 118.236898 69.795391 13.061310
121 1 117.909930 77.517230 9.955194
122 1 114.795091 79.169075 15.055373
123 1 124.995570 82.458351 15.283578
124 1 126.215439 94.603705 12.143447
125 1 121.902118 91.248887 12.100394
126 1 122.844727 100.118733 13.573186
127 1 111.455934 101.058769 11.173929
128 1 103.645819 126.449197 13.236659
129 1 101.822747 137.185114 15.682780
130 1 105.039021 129.940639 12.696694
131 1 100.146638 144.954576 11.939431
132 1 99.049057 133.150784 16.452948
133 1 93.297926 135.527994 13.920943
