# time identity distance inter intra
0 1 128.453174 113.078345 15.337261
1 1 122.859203 103.044791 12.125922
2 1 114.777127 120.421435 11.161890
3 1 119.291100 120.722503 11.598865
4 1 123.809473 114.984235 9.146128
5 1 126.042026 110.629693 8.432425
6 1 134.484532 103.992854 11.149328
7 1 132.252097 101.210326 7.633881
8 1 129.563223 106.208319 9.352624
9 1 133.889096 108.595823 11.750043
10 1 133.779079 96.158542 11.006174
11 1 131.081492 91.092878 11.194757
12 1 136.561434 87.530264 16.606398
13 1 142.603123 78.689462 14.766017
14 1 144.949959 55.833441 10.502478
15 1 144.561017 58.814847 14.344445
16 1 134.996271 76.013264 12.099648
17 1 141.441371 73.831575 15.211352
18 1 150.150334 51.875498 15.517815
19 1 150.271787 58.712419 22.557648
20 1 151.196998 52.426180 20.685430
21 1 150.966696 37.962843 24.673774
22 1 159.186348 45.723897 26.833607
23 1 155.027045 59.500304 26.698880
24 1 160.763304 51.571129 19.905235
25 1 174.749342 41.873393 18.420227
26 1 167.048528 55.962839 19.058287
27 1 175.016207 46.481045 20.082959
28 1 164.840572 64.993989 14.249276
29 1 163.851628 71.064198 14.608655
30 1 159.843781 86.353831 18.986309
31 1 155.283851 96.152725 10.760481
32 1 151.098300 104.057512 13.654149
33 1 153.441574 92.917827 14.256377
34 1 149.532608 105.817176 11.949341
35 1 146.176935 88.214532 9.812133
36 1 144.858455 108.404547 9.667337
37 1 144.386287 109.177445 16.239142
38 1 141.826895 106.125633 16.096975
39 1 141.899518 105.930471 17.528383
40 1 144.200044 104.388287 11.144116
41 1 140.159095 103.115636 11.020602
42 1 145.927538 98.110293 9.727804
43 1 145.614119 86.592928 9.100563
44 1 147.195378 97.423744 7.367924
45 1 146.218281 89.744395 6.915584
46 1 149.433668 87.865613 7.175230
47 1 146.227459 91.405684 11.432688
48 1 150.787268 75.753547 13.885681
49 1 146.662010 86.735347 17.244249
50 1 145.720918 91.700197 14.053988
51 1 148.369167 78.155409 14.672301
52 1 144.984904 90.671791 17.881883
53 1 145.233032 91.084222 14.614926
54 1 138.093949 93.163862 18.676825
55 1 136.269364 110.378392 14.002806
56 1 140.255421 115.801068 14.165100
57 1 145.965441 112.232165 11.518304
58 1 143.820371 101.165098 15.188705
59 1 142.648622 102.182051 17.333356
60 1 146.335624 88.048481 17.768722
61 1 150.915212 77.978839 13.808326
62 1 156.739024 66.952763 11.512877
63 1 167.205689 49.292258 18.764004
64 1 162.522368 52.204511 20.691097
65 1 165.195777 62.778314 15.959412
66 1 168.757165 59.630856 19.897014
67 1 168.457328 58.627231 17.711831
68 1 167.576626 61.166119 14.730839
69 1 176.546302 33.498259 31.657788
70 1 174.253895 48.889914 32.363956
71 1 171.180569 61.434435 28.542944
72 1 169.615123 75.637476 22.665592
73 1 172.591376 73.895331 22.183480
74 1 173.733250 72.090428 26.794145
75 1 183.773818 43.485350 19.862173
76 1 180.946364 46.969095 20.680149
77 1 181.904522 41.522589 29.085424
78 1 180.252626 46.008759 15.527371
79 1 182.543591 39.635865 27.278627
80 1 174.082438 49.511772 25.172198
81 1 166.361551 59.679012 26.430962
82 1 167.586335 53.653708 32.121031
