# time identity distance inter intra
0 1 116.344520 111.487235 15.914582
1 1 109.487468 112.852644 16.686035
2 1 104.439195 115.803527 14.276132
3 1 103.394436 105.728918 20.317500
4 1 107.100002 101.220323 13.737976
5 1 109.267043 121.658410 16.582528
6 1 108.300259 118.570903 21.811196
7 1 103.384973 116.190526 23.565085
8 1 105.861711 135.550624 18.683931
9 1 100.944942 148.851647 16.387100
10 1 91.072253 147.001036 17.565023
11 1 90.273229 156.996153 20.289869
12 1 95.635451 155.477519 14.422200
13 1 98.644696 137.595238 19.472013
14 1 96.062429 124.995175 15.590744
15 1 94.632099 136.851914 15.610317
16 1 94.068281 152.814893 16.496040
17 1 93.326542 159.217447 19.481298
18 1 99.819177 145.012241 20.285036
19 1 96.184546 140.304247 11.501866
20 1 90.827445 140.090080 11.462784
21 1 87.496389 145.877481 18.730829
22 1 88.579698 136.531667 15.910182
23 1 91.893626 144.019145 18.009442
24 1 90.902380 157.996916 15.878410
25 1 98.227230 140.344670 16.818943
26 1 93.758451 123.141292 19.513024
27 1 96.536371 125.268484 23.712497
28 1 91.358661 127.589111 24.411940
29 1 91.863244 151.713894 23.405490
30 1 89.979748 152.143467 31.357224
31 1 80.755625 155.348628 25.996537
32 1 86.197723 149.350916 24.050306
33 1 80.045347 139.635317 17.635198
34 1 77.059902 162.867098 16.588088
35 1 77.852256 164.901588 23.666934
36 1 79.165448 142.697106 25.165985
37 1 74.603954 153.687625 25.885108
38 1 74.871198 151.327843 26.702648
39 1 79.768833 154.660156 17.149663
40 1 72.528510 162.918001 20.498208
41 1 77.517072 179.001691 20.303434
42 1 79.037629 170.090817 15.161604
43 1 79.943225 166.038338 12.713572
44 1 81.254187 166.789458 15.178056
45 1 80.437553 148.667857 11.703169
46 1 82.685386 166.881011 19.231538
47 1 88.129480 148.894846 20.766726
48 1 97.941516 146.527915 18.018979
49 1 93.419260 145.470292 17.983263
50 1 100.032833 142.204315 18.001083
51 1 103.868517 124.644801 17.163994
52 1 101.767459 128.874755 15.267253
53 1 106.174012 135.648884 18.516292
54 1 101.482788 124.753845 17.667273
55 1 104.831554 137.533308 20.427475
56 1 113.865583 120.534912 20.057079
57 1 111.300606 106.338545 21.791300
58 1 103.978706 111.768839 21.856443
59 1 101.094024 116.678628 17.541790
60 1 111.067682 121.991726 16.640778
61 1 109.377375 125.427419 15.022477
62 1 107.903892 138.168421 17.728507
63 1 107.831942 130.392183 18.678122
64 1 105.683197 145.314644 15.879518
65 1 108.128099 144.775275 12.771676
66 1 110.357539 135.476397 13.625859
67 1 113.041753 140.471816 13.216028
68 1 105.429503 152.715111 9.273561
69 1 99.992109 152.486785 10.017376
70 1 102.181698 149.908665 9.585686
71 1 104.494984 156.084006 12.735741
72 1 106.854787 151.217606 12.787660
73 1 114.203250 143.538823 14.027804
74 1 113.932838 158.838601 16.788609
75 1 112.399320 150.194934 17.036401
76 1 107.634123 143.165453 21.053774
77 1 108.696454 145.783293 24.674824
78 1 111.353516 146.341655 30.898249
79 1 106.089233 145.671093 30.989291
80 1 102.882624 146.416410 29.780733
81 1 110.193923 139.645989 33.597885
82 1 111.765570 140.715223 34.689730
83 1 112.949736 138.552094 34.463821
84 1 116.212510 136.367170 36.956223
85 1 110.490750 125.965244 33.317569
86 1 113.976754 135.269919 32.120151
87 1 119.238373 136.857107 32.737276
88 1 121.183599 131.955424 34.971597
89 1 112.216905 150.910617 36.938506
90 1 118.925333 117.290748 36.073419
91 1 117.231419 140.598612 39.144882
92 1 123.814219 126.454929 34.332302
93 1 121.601658 145.517872 27.391257
94 1 117.204173 138.810726 28.188395
95 1 120.864782 137.155114 21.991943
96 1 121.869295 133.797990 18.383929
97 1 119.311262 146.955960 17.075115
98 1 121.149360 152.795621 13.184705
99 1 126.613502 145.623474 21.000829
100 1 125.044898 138.379869 26.133531
101 1 130.269598 122.668954 23.003351
102 1 133.875962 101.538273 24.980860
103 1 130.700989 125.767661 24.126588
104 1 133.944438 128.304772 23.500961
105 1 131.365893 135.139919 21.745359
106 1 118.645286 126.360320 20.707611
107 1 126.587001 116.634266 21.132937
108 1 125.124587 116.367847 20.817887
109 1 128.525069 114.927260 18.667922
110 1 123.130772 121.358235 12.960880
111 1 122.924597 137.751676 17.158648
112 1 119.659091 146.525655 14.652017
113 1 122.508799 136.877210 15.782434
114 1 130.911834 119.538636 18.834545
115 1 138.808703 130.019337 18.799775
116 1 147.292759 118.365595 15.374134
117 1 143.860749 119.403190 21.908229
118 1 141.027795 112.717767 21.345262
119 1 145.247041 127.494476 22.378128
120 1 146.754475 118.144708 19.926040
121 1 153.903263 106.136575 23.930693
122 1 150.491082 120.791475 20.574641
123 1 149.636923 101.339509 20.452617
